Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
02:12.7     	22.30 	56.3    	23.16
02:13.6     	22.24 	56.0    	23.16
02:14.5     	22.22 	56.6    	23.15
02:15.4     	22.28 	58.4    	23.15
02:16.3     	22.27 	58.3    	23.15
02:17.1     	22.16 	56.8    	23.15
02:18.0     	22.09 	55.9    	23.15
02:18.9     	22.05 	56.2    	23.15
02:19.8     	22.06 	57.1    	23.14
02:20.7     	22.02 	56.9    	23.14
02:21.6     	21.94 	55.8    	23.13
02:22.5     	21.93 	57.3    	23.13
02:23.4     	22.08 	60.4    	23.12
02:24.4     	22.09 	57.6    	23.11
02:25.2     	22.09 	56.5    	23.11
02:26.1     	22.23 	56.9    	23.10
02:27.0     	22.18 	55.7    	23.10
02:27.9     	22.15 	55.7    	23.09
02:28.8     	22.23 	55.2    	23.09
02:29.7     	22.27 	54.9    	23.09
02:30.5     	22.30 	55.2    	23.08
02:31.4     	22.35 	55.5    	23.09
02:32.4     	22.45 	57.5    	23.09
02:33.3     	22.57 	58.7    	23.09
02:34.2     	22.65 	58.6    	23.10
02:35.1     	22.62 	57.4    	23.11
02:36.0     	22.59 	58.1    	23.11
02:36.9     	22.53 	56.7    	23.12
02:37.8     	22.52 	56.1    	23.13
02:38.6     	22.43 	55.8    	23.13
02:39.5     	22.35 	55.5    	23.14
02:40.4     	22.20 	54.2    	23.14
02:41.3     	22.13 	53.3    	23.14
02:42.2     	22.06 	52.2    	23.14
02:43.2     	21.98 	52.0    	23.14
02:44.0     	21.93 	52.1    	23.14
02:44.9     	21.98 	52.0    	23.13
02:45.8     	22.09 	51.7    	23.13
02:46.7     	22.18 	52.0    	23.13
02:47.6     	22.28 	52.9    	23.13
02:48.5     	22.37 	52.9    	23.13
02:49.4     	22.45 	52.9    	23.13
02:50.3     	22.42 	52.7    	23.14
02:51.6     	22.39 	52.5    	23.13
02:52.0     	22.29 	52.9    	23.15
02:52.9     	22.37 	52.7    	23.15
02:53.9     	22.33 	52.8    	23.16
02:54.8     	22.28 	52.8    	23.16
02:55.7     	22.18 	52.9    	23.17
