Time [mm:ss]	T [°C]	U [%r H]    	Tu Cap [°C]
02:12.1     	13.67 	60.7        	14.30
02:13.1     	13.70 	59.3        	14.30
02:14.0     	13.71 	58.6        	14.30
02:14.9     	13.73 	56.5        	14.30
02:15.8     	13.67 	56.3        	14.30
02:16.7     	13.70 	58.7        	14.29
02:17.5     	13.70 	56.6        	14.28
02:18.4     	13.70 	56.1        	14.27
02:19.3     	13.70 	56.0        	14.27
02:20.2     	13.67 	56.0        	14.27
02:21.1     	13.68 	56.2        	14.28
02:22.0     	13.66 	56.3        	14.28
02:23.0     	13.62 	56.5        	14.28
02:23.9     	13.60 	56.6        	14.29
02:24.8     	13.58 	57.2        	14.29
02:25.6     	13.59 	57.0        	14.30
02:26.5     	13.59 	57.1        	14.30
02:27.4     	13.60 	57.5        	14.28
02:28.3     	13.63 	57.5        	14.29
02:29.2     	13.64 	57.3        	14.30
02:30.1     	13.63 	57.4        	14.31
02:31.0     	13.62 	57.4        	14.31
02:31.9     	13.61 	57.1        	14.32
02:32.8     	13.62 	58.2        	14.33
02:33.7     	13.67 	58.8        	14.34
02:34.6     	13.68 	58.2        	14.35
02:35.5     	13.68 	57.7        	14.36
02:36.4     	13.70 	59.4        	14.36
02:37.3     	13.69 	58.1        	14.36
02:38.2     	13.68 	57.4        	14.38
02:39.0     	13.69 	57.2        	14.40
02:40.6     	13.69 	57.0        	14.41
02:40.8     	13.72 	57.0        	14.42
02:41.7     	13.72 	57.1        	14.44
02:42.6     	13.72 	57.7        	14.46
02:43.5     	13.72 	57.6        	14.49
02:44.5     	13.73 	58.1        	14.51
02:45.4     	13.76 	58.7        	14.52
02:46.8     	13.80 	59.3        	14.54
02:46.9     	13.80 	59.3        	14.54
02:47.1     	13.80 	58.3        	14.56
02:48.0     	13.79 	58.6        	14.58
02:48.9     	13.81 	59.5        	14.60
02:49.8     	13.83 	59.8        	14.61
02:50.7     	13.86 	59.9        	14.63
02:51.6     	13.90 	60.4        	14.65
02:52.5     	13.90 	59.3        	14.66
02:53.4     	13.91 	60.1        	14.69
02:54.3     	13.98 	60.4        	14.70
02:55.2     	14.03 	60.3        	14.72
02:56.1     	14.06 	60.2        	14.74
02:57.0     	14.11 	59.5        	14.76
02:57.9     	14.14 	59.9        	14.77
02:58.8     	14.19 	59.5        	14.79
02:59.7     	14.21 	58.1        	14.81
03:00.5     	14.21 	57.6        	14.83
03:01.4     	14.22 	57.5        	14.85
03:02.4     	14.23 	57.7        	14.86
03:03.2     	14.24 	57.5        	14.88
03:04.1     	14.25 	57.3        	14.90
03:05.0     	14.28 	56.8        	14.91
03:06.0     	14.29 	56.7        	14.93
03:06.9     	14.28 	56.6        	14.95
03:07.8     	14.24 	56.8        	14.97
03:08.6     	14.23 	57.3        	14.99
03:09.5     	14.23 	58.1        	15.01
03:10.4     	14.21 	58.0        	15.03
03:11.3     	14.20 	58.0        	15.05
03:12.2     	14.19 	58.0        	15.07
03:13.1     	14.19 	58.2        	15.09
03:13.9     	14.19 	58.2        	15.11
03:14.8     	14.19 	58.1        	15.13
03:15.9     	14.20 	58.1        	15.16
03:16.7     	14.20 	58.0        	15.19
03:17.6     	14.19 	57.9        	15.21
03:18.5     	14.19 	58.2        	15.24
03:19.4     	14.18 	58.3        	15.26
03:20.3     	14.18 	58.8        	15.29
03:21.2     	14.16 	58.3        	15.31
03:22.0     	14.13 	58.0        	15.33
03:22.9     	14.11 	57.9        	15.36
03:23.8     	14.10 	58.1        	15.38
03:24.7     	14.09 	58.3        	15.40
03:25.6     	14.08 	58.4        	15.42
03:26.6     	14.08 	59.0        	15.44
03:27.5     	14.09 	59.1        	15.45
03:28.4     	14.11 	59.9        	15.47
03:29.3     	14.16 	61.1        	15.49
03:30.1     	14.20 	61.2        	15.51
03:31.0     	14.22 	61.6        	15.53
03:31.9     	14.24 	61.3        	15.55
03:32.8     	14.30 	63.8        	15.57
03:33.7     	14.38 	64.3        	15.59
03:34.6     	14.45 	64.9        	15.62
03:35.4     	14.49 	63.4        	15.65
03:36.3     	14.48 	63.4        	15.67
03:37.4     	14.51 	63.6        	15.69
03:38.2     	14.45 	62.3        	15.72
03:39.1     	14.39 	61.2        	15.74
03:40.0     	14.35 	60.8        	15.76
03:40.9     	14.32 	61.1        	15.79
03:41.8     	14.34 	62.1        	15.80
03:42.7     	14.35 	62.5        	15.82
03:43.6     	14.41 	63.8        	15.85
03:44.4     	14.45 	63.4        	15.86
03:45.3     	14.50 	65.7        	15.88
03:46.2     	14.54 	63.7        	15.90
03:47.1     	14.51 	62.3        	15.91
03:48.1     	14.49 	61.4        	15.93
03:49.0     	14.46 	61.8        	15.94
03:49.9     	14.52 	64.0        	15.95
03:50.8     	14.60 	64.6        	15.97
03:51.7     	14.61 	62.0        	15.98
03:52.5     	14.53 	60.1        	15.99
03:53.4     	14.51 	60.7        	16.00
03:54.3     	14.52 	60.9        	16.01
03:55.2     	14.50 	60.1        	16.02
03:56.1     	14.43 	60.1        	16.03
03:57.0     	14.40 	60.2        	16.04
03:57.8     	14.39 	60.5        	16.04
03:58.9     	14.40 	61.7        	16.05
03:59.8     	14.49 	63.7        	16.05
04:00.6     	14.58 	62.9        	16.05
04:01.5     	14.60 	62.7        	16.05
04:02.4     	14.64 	64.3        	16.06
04:03.3     	14.66 	63.7        	16.06
04:04.2     	14.73 	65.0        	16.06
04:05.1     	14.71 	61.1        	16.07
04:05.9     	14.62 	60.0        	16.07
04:06.8     	14.55 	59.9        	16.07
04:07.8     	14.49 	59.8        	16.07
04:08.7     	14.42 	59.6        	16.08
04:09.6     	14.38 	59.4        	16.08
04:10.5     	14.41 	59.3        	16.08
04:11.3     	14.44 	60.2        	16.09
04:12.2     	14.49 	59.7        	16.08
04:13.2     	14.47 	57.9        	16.07
04:14.0     	14.47 	57.0        	16.07
04:14.9     	14.45 	56.9        	16.05
04:15.8     	14.45 	58.5        	16.05
04:16.7     	14.48 	57.8        	16.04
04:17.6     	14.44 	56.9        	16.01
04:18.6     	14.37 	57.0        	15.99
04:19.4     	14.35 	57.7        	15.98
04:20.3     	14.35 	57.9        	15.96
04:21.2     	14.37 	58.5        	15.95
04:22.1     	14.42 	60.5        	15.94
04:23.0     	14.54 	62.1        	15.93
04:23.9     	14.51 	59.9        	15.94
04:24.8     	14.46 	59.4        	15.94
04:25.7     	14.46 	61.6        	15.93
04:26.6     	14.55 	62.6        	15.93
04:27.4     	14.41 	58.0        	15.91
04:28.3     	14.27 	57.2        	15.92
04:29.3     	14.17 	57.1        	15.91
04:30.2     	14.11 	57.4        	15.89
04:31.1     	14.08 	58.0        	15.86
04:32.0     	14.06 	58.4        	15.84
04:32.8     	14.12 	58.9        	15.83
04:33.8     	14.22 	59.2        	15.81
04:34.7     	14.22 	57.4        	15.80
04:35.5     	14.23 	56.6        	15.79
04:36.4     	14.23 	56.4        	15.77
04:37.3     	14.23 	56.3        	15.75
04:38.2     	14.24 	56.7        	15.74
04:39.1     	14.25 	56.7        	15.72
04:40.1     	14.25 	57.0        	15.70
04:40.9     	14.31 	58.9        	15.68
04:41.8     	14.31 	57.9        	15.65
04:42.7     	14.28 	56.6        	15.64
04:43.6     	14.27 	56.2        	15.63
04:44.5     	14.26 	56.1        	15.62
04:45.4     	14.25 	56.2        	15.60
04:46.3     	14.25 	56.9        	15.58
04:47.2     	14.21 	57.6        	15.57
04:48.1     	14.23 	58.4        	15.54
04:48.9     	14.22 	59.3        	15.51
04:49.8     	14.19 	58.7        	15.50
04:50.8     	14.20 	57.7        	15.49
04:51.7     	14.18 	57.6        	15.48
04:52.6     	14.16 	57.2        	15.46
04:53.5     	14.14 	57.7        	15.44
04:54.3     	14.15 	56.9        	15.43
04:55.3     	14.15 	56.9        	15.41
04:56.2     	14.17 	57.8        	15.40
04:57.0     	14.21 	57.9        	15.39
04:57.9     	14.23 	57.7        	15.37
04:58.8     	14.25 	57.5        	15.37
04:59.7     	14.28 	57.7        	15.36
05:00.7     	14.32 	57.8        	15.35
05:01.6     	14.33 	57.6        	15.36
05:02.4     	14.36 	57.6        	15.35
05:03.3     	14.37 	57.2        	15.35
05:04.2     	14.38 	57.0        	15.35
05:05.1     	14.36 	57.1        	15.34
05:06.0     	14.37 	57.5        	15.35
05:06.9     	14.36 	58.1        	15.34
05:07.7     	14.37 	59.1        	15.34
05:08.7     	14.35 	59.7        	15.33
05:09.6     	14.34 	59.6        	15.33
05:10.4     	14.37 	60.3        	15.32
05:11.3     	14.40 	59.9        	15.32
05:12.3     	14.41 	59.2        	15.31
05:13.2     	14.36 	59.2        	15.30
05:14.1     	14.32 	59.0        	15.30
05:14.9     	14.33 	59.3        	15.29
05:15.8     	14.35 	58.7        	15.28
05:16.7     	14.32 	58.8        	15.27
05:17.7     	14.33 	59.5        	15.27
05:18.6     	14.35 	60.3        	15.26
05:19.5     	14.39 	62.3        	15.25
