Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
03:16.7     	16.31 	58.6    	15.62
03:17.6     	16.35 	58.6    	15.63
03:18.4     	16.35 	58.6    	15.64
03:19.3     	16.31 	59.0    	15.66
03:20.2     	16.29 	59.2    	15.67
03:21.1     	16.18 	59.7    	15.68
03:22.0     	16.13 	59.9    	15.71
03:22.9     	15.79 	60.8    	15.69
03:23.8     	15.29 	62.6    	15.69
03:24.7     	14.96 	63.9    	15.59
03:25.6     	14.91 	63.9    	15.55
03:26.4     	14.90 	64.3    	15.50
03:27.3     	14.80 	64.4    	15.46
03:28.4     	14.66 	64.9    	15.35
03:29.2     	14.54 	64.7    	15.37
03:30.1     	14.60 	64.6    	15.27
03:31.0     	14.56 	64.6    	15.24
03:31.9     	14.47 	64.8    	15.20
03:32.8     	14.48 	64.9    	15.19
03:33.7     	14.45 	65.2    	15.15
03:34.5     	14.43 	65.3    	15.11
03:35.4     	14.42 	65.3    	15.05
03:36.4     	14.39 	65.4    	15.01
03:37.2     	14.40 	65.6    	14.98
03:38.1     	14.37 	65.4    	14.94
03:39.0     	14.35 	65.7    	14.90
03:39.9     	14.36 	65.7    	14.87
03:40.8     	14.38 	65.9    	14.85
03:41.8     	14.38 	65.4    	14.82
03:42.6     	14.36 	65.7    	14.79
03:43.6     	14.37 	65.8    	14.77
03:44.5     	14.37 	66.0    	14.76
03:45.3     	14.37 	65.7    	14.74
03:46.2     	14.38 	65.8    	14.72
03:47.1     	14.39 	66.0    	14.71
03:48.0     	14.41 	66.6    	14.70
03:48.9     	14.46 	67.0    	14.69
03:49.8     	14.46 	65.8    	14.68
03:50.7     	14.44 	66.2    	14.67
03:51.6     	14.45 	66.4    	14.66
03:52.5     	14.49 	66.1    	14.66
03:53.3     	14.48 	66.3    	14.65
03:54.2     	14.47 	66.1    	14.65
03:55.1     	14.46 	65.8    	14.65
03:56.0     	14.46 	66.5    	14.64
03:57.0     	14.47 	65.6    	14.64
03:57.9     	14.45 	65.5    	14.63
03:58.8     	14.44 	65.4    	14.63
03:59.7     	14.46 	65.4    	14.63
04:00.6     	14.47 	65.3    	14.63
04:01.4     	14.47 	65.4    	14.62
04:02.3     	14.48 	65.4    	14.62
04:03.2     	14.46 	65.3    	14.62
04:04.1     	14.45 	65.5    	14.62
04:05.0     	14.44 	65.4    	14.61
04:05.9     	14.43 	65.4    	14.61
04:06.8     	14.43 	65.4    	14.60
04:07.7     	14.42 	65.5    	14.60
04:08.6     	14.42 	65.6    	14.60
04:09.4     	14.40 	65.6    	14.59
04:10.4     	14.38 	65.7    	14.58
04:11.4     	14.39 	66.0    	14.58
04:12.2     	14.43 	66.1    	14.58
04:13.1     	14.46 	66.3    	14.58
04:14.0     	14.49 	66.4    	14.59
04:14.9     	14.51 	66.2    	14.59
04:15.8     	14.50 	66.8    	14.59
04:16.7     	14.52 	67.2    	14.60
04:17.5     	14.57 	67.6    	14.60
04:18.5     	14.59 	66.9    	14.61
04:19.4     	14.58 	66.8    	14.61
04:20.2     	14.53 	66.7    	14.60
04:21.1     	14.48 	66.7    	14.61
04:22.0     	14.55 	66.7    	14.62
04:22.9     	14.57 	67.1    	14.63
04:23.9     	14.55 	65.7    	14.63
04:24.8     	14.43 	66.9    	14.64
04:25.6     	14.46 	68.1    	14.60
04:26.5     	14.53 	67.7    	14.63
04:27.5     	14.56 	68.3    	14.61
04:28.3     	14.57 	68.7    	14.61
04:29.2     	14.62 	66.4    	14.66
04:30.1     	14.56 	65.8    	14.69
04:31.0     	14.52 	65.9    	14.65
04:31.9     	14.44 	65.6    	14.64
04:32.8     	14.34 	65.9    	14.62
04:33.7     	14.31 	66.8    	14.61
04:34.6     	14.31 	65.9    	14.59
04:35.5     	14.20 	66.0    	14.57
04:36.3     	14.20 	66.7    	14.55
04:37.2     	14.14 	67.3    	14.49
04:38.2     	14.16 	66.4    	14.46
04:39.1     	14.16 	68.9    	14.45
04:40.0     	14.20 	68.1    	14.45
04:40.9     	14.20 	66.9    	14.44
04:41.8     	14.17 	66.1    	14.42
04:42.7     	14.14 	66.2    	14.41
04:43.6     	14.17 	66.5    	14.40
04:44.4     	14.20 	66.9    	14.40
04:45.3     	14.28 	66.7    	14.42
04:46.2     	14.29 	66.0    	14.42
04:47.1     	14.24 	65.5    	14.43
04:48.0     	14.19 	65.9    	14.44
04:48.9     	14.23 	65.8    	14.43
04:49.8     	14.14 	65.7    	14.41
04:50.7     	14.12 	65.8    	14.40
04:51.7     	14.13 	65.9    	14.39
04:52.6     	14.11 	65.9    	14.38
04:53.4     	14.10 	66.0    	14.34
04:54.3     	14.13 	65.8    	14.33
04:55.2     	14.15 	65.7    	14.33
04:56.1     	14.16 	65.7    	14.32
04:57.0     	14.17 	65.8    	14.32
04:57.9     	14.18 	65.8    	14.31
04:58.3     	14.19 	65.8    	14.32
04:58.8     	14.23 	66.2    	14.32
04:59.7     	14.27 	66.1    	14.32
05:00.6     	14.31 	67.2    	14.33
05:01.4     	14.36 	66.2    	14.34
05:02.3     	14.34 	66.7    	14.35
05:03.2     	14.37 	66.2    	14.36
05:04.1     	14.40 	65.7    	14.37
05:05.1     	14.40 	66.2    	14.38
05:06.0     	14.46 	68.3    	14.40
05:06.9     	14.44 	66.5    	14.41
05:07.8     	14.43 	66.9    	14.42
05:08.7     	14.36 	65.9    	14.42
05:09.5     	14.31 	65.9    	14.42
05:10.4     	14.28 	65.6    	14.42
05:11.4     	14.25 	65.9    	14.41
05:12.2     	14.29 	66.4    	14.41
05:13.1     	14.32 	66.3    	14.42
05:14.0     	14.31 	66.2    	14.42
05:14.9     	14.35 	66.5    	14.42
05:15.8     	14.37 	66.3    	14.43
05:16.7     	14.38 	66.9    	14.43
05:17.6     	14.40 	66.0    	14.44
05:18.5     	14.36 	65.8    	14.44
05:19.5     	14.35 	66.2    	14.44
05:20.3     	14.38 	67.2    	14.45
05:21.2     	14.40 	65.9    	14.45
05:22.1     	14.38 	66.5    	14.45
05:23.0     	14.37 	65.7    	14.45
05:23.9     	14.22 	65.6    	14.44
05:24.8     	14.17 	65.8    	14.43
05:25.6     	14.16 	65.8    	14.42
05:26.5     	14.14 	66.0    	14.40
05:27.4     	14.16 	66.5    	14.40
05:28.3     	14.21 	66.3    	14.39
05:29.2     	14.24 	65.9    	14.39
05:30.2     	14.25 	66.2    	14.39
05:31.1     	14.28 	66.0    	14.39
05:32.0     	14.31 	66.2    	14.39
05:32.9     	14.34 	65.7    	14.39
05:33.7     	14.31 	65.6    	14.39
05:34.6     	14.29 	65.9    	14.39
05:35.5     	14.28 	66.1    	14.39
05:36.4     	14.32 	67.4    	14.40
05:37.3     	14.34 	66.9    	14.40
05:38.2     	14.38 	67.1    	14.41
05:39.1     	14.42 	66.9    	14.42
05:40.0     	14.45 	66.5    	14.43
05:40.9     	14.47 	67.4    	14.44
05:41.7     	14.50 	65.9    	14.45
05:42.6     	14.41 	65.4    	14.45
05:43.5     	14.35 	65.8    	14.45
05:44.5     	14.30 	66.0    	14.45
05:45.4     	14.33 	66.7    	14.45
05:46.3     	14.33 	66.2    	14.45
05:47.2     	14.29 	65.8    	14.45
05:48.1     	14.27 	65.7    	14.44
05:49.0     	14.23 	65.8    	14.43
05:49.8     	14.22 	65.9    	14.43
05:50.7     	14.22 	66.2    	14.42
05:51.7     	14.28 	67.4    	14.42
05:52.5     	14.32 	66.6    	14.42
05:53.4     	14.28 	66.4    	14.42
05:54.3     	14.33 	66.7    	14.42
05:55.2     	14.37 	66.8    	14.43
05:56.1     	14.41 	66.4    	14.43
05:57.0     	14.32 	65.3    	14.42
05:57.8     	14.26 	65.6    	14.42
05:58.9     	14.24 	66.4    	14.42
05:59.8     	14.26 	67.0    	14.42
06:00.6     	14.34 	68.3    	14.42
06:01.5     	14.36 	65.5    	14.42
06:02.7     	14.34 	62.7    	14.42
06:03.8     	14.31 	62.7    	14.41
06:04.2     	14.25 	65.7    	14.41
06:05.1     	14.25 	65.9    	14.41
06:06.0     	14.26 	65.9    	14.41
06:06.9     	14.24 	65.6    	14.40
06:07.8     	14.19 	65.9    	14.39
06:08.6     	14.15 	65.9    	14.38
06:09.6     	14.19 	66.2    	14.37
06:10.4     	14.16 	66.3    	14.37
06:11.3     	14.19 	66.3    	14.36
06:12.3     	14.19 	65.9    	14.36
06:13.2     	14.13 	65.6    	14.34
06:14.1     	14.07 	65.9    	14.33
06:15.0     	14.07 	66.0    	14.33
06:15.9     	14.11 	66.4    	14.32
06:16.7     	14.16 	67.0    	14.32
06:17.6     	14.21 	66.5    	14.32
06:18.5     	14.26 	67.1    	14.32
06:19.4     	14.27 	66.3    	14.33
06:20.3     	14.33 	66.8    	14.33
06:21.2     	14.37 	66.6    	14.34
06:22.1     	14.34 	66.4    	14.35
06:23.0     	14.37 	66.5    	14.35
06:23.9     	14.32 	66.7    	14.36
06:24.7     	14.29 	65.6    	14.36
06:25.7     	14.18 	65.5    	14.35
06:26.6     	14.13 	65.7    	14.35
06:27.7     	14.07 	66.2    	14.34
06:28.4     	14.19 	67.0    	14.34
06:29.3     	14.17 	66.5    	14.34
