Time [mm:ss]	T [°C]    	U [%r H]	Tu Cap [°C]
02:39.1     	15.46     	62.1    	16.08
02:40.0     	15.43     	62.4    	16.05
02:40.9     	15.45     	62.7    	16.02
02:41.9     	15.48     	62.6    	15.98
02:42.7     	15.49     	62.9    	15.95
02:43.6     	15.58     	63.6    	15.94
02:44.5     	15.62     	62.3    	15.92
02:45.4     	15.60     	62.8    	15.90
02:46.3     	15.67     	63.5    	15.89
02:47.2     	15.76     	64.6    	15.89
02:48.1     	15.84     	63.8    	15.89
02:49.0     	15.88     	65.7    	15.90
02:49.9     	15.91     	63.7    	15.90
02:50.7     	15.95     	63.2    	15.90
02:51.6     	15.91     	66.4    	15.92
02:52.6     	16.12     	66.2    	15.94
02:53.5     	16.12     	64.0    	15.96
02:54.6     	16.13     	60.8    	15.94
02:55.3     	15.68     	62.3    	15.93
02:56.1     	15.60     	62.3    	15.91
02:57.0     	15.52     	62.2    	15.89
02:58.4     	15.43     	62.2    	15.87
02:58.6     	15.43     	62.2    	15.87
02:58.8     	15.35     	63.2    	15.84
02:59.7     	15.37     	63.1    	15.81
03:00.6     	15.50     	63.2    	15.80
03:01.5     	15.66     	67.0    	15.81
03:02.4     	16.04     	68.0    	15.83
03:03.4     	16.19     	65.2    	15.85
03:04.2     	15.94     	61.5    	15.85
03:05.1     	15.69     	61.6    	15.83
03:06.0     	15.50     	61.8    	15.81
03:06.9     	15.36     	62.2    	15.78
03:07.8     	15.30     	63.6    	15.76
03:08.7     	15.30     	62.3    	15.72
03:09.6     	15.21     	63.0    	15.68
03:10.5     	15.21     	62.4    	15.65
03:11.4     	15.22     	62.5    	15.62
03:12.2     	15.29     	62.4    	15.60
03:13.1     	15.34     	62.2    	15.59
03:14.1     	15.32     	62.1    	15.57
03:15.0     	15.26     	62.3    	15.55
03:15.9     	15.21     	62.5    	15.53
03:16.8     	15.21     	62.6    	15.51
03:17.7     	15.20     	62.4    	15.50
03:18.6     	15.29     	62.9    	15.49
03:19.5     	15.38     	62.8    	15.49
03:20.3     	15.46     	62.9    	15.49
03:21.2     	15.66     	63.2    	15.51
03:22.4     	15.85     	63.4    	15.49
03:22.6     	15.85     	63.4    	15.54
03:23.5     	--        	--      	15.58
03:23.6     	--        	--      	15.58
03:23.9     	15.77     	63.4    	15.58
03:24.9     	15.94     	65.9    	15.61
03:25.7     	16.22     	68.4    	15.65
03:26.6     	16.45     	65.1    	15.65
03:27.7     	16.68     	62.3    	--
03:28.6     	16.68     	60.5    	15.81
03:29.3     	16.10     	61.2    	15.83
03:30.2     	15.91     	61.8    	15.84
03:31.5     	15.71     	62.5    	15.85
03:31.7     	15.71     	62.5    	15.85
03:32.6     	--        	--      	--
03:32.9     	15.90     	66.6    	15.88
03:33.7     	16.14     	61.1    	15.91
03:34.6     	16.31     	55.5    	15.91
03:35.5     	16.38     	64.1    	--
03:36.5     	16.31     	64.1    	15.98
03:37.4     	16.15     	66.2    	16.00
03:38.3     	15.88     	62.0    	16.00
03:39.2     	15.57     	62.0    	15.98
03:40.1     	15.39     	62.6    	15.95
03:41.0     	15.31     	62.8    	15.92
03:41.8     	15.29     	62.8    	15.88
03:42.7     	15.27     	62.8    	15.85
03:43.6     	15.26     	62.9    	15.82
03:44.5     	15.28     	62.7    	15.79
03:45.4     	15.26     	63.0    	15.75
03:46.3     	15.38     	64.1    	15.73
03:47.3     	15.38     	62.5    	15.71
03:48.2     	15.34     	62.4    	15.69
03:49.1     	15.32     	62.4    	15.67
03:49.9     	15.32     	63.5    	15.65
03:50.8     	15.41     	62.9    	15.64
03:51.7     	15.51     	66.2    	15.65
03:52.6     	15.78     	67.2    	15.67
03:53.5     	15.93     	65.4    	15.69
03:54.4     	16.03     	64.2    	15.71
03:55.2     	15.96     	63.1    	15.73
03:56.2     	15.79     	61.9    	15.74
03:57.1     	15.65     	61.9    	15.74
03:58.0     	15.54     	62.0    	15.73
03:58.9     	15.48     	62.3    	15.72
03:59.8     	15.46     	62.2    	15.71
04:00.7     	15.38     	62.4    	15.70
04:01.6     	15.35     	62.5    	15.68
04:02.5     	15.35     	62.8    	15.67
04:03.3     	15.37     	62.6    	15.66
04:04.2     	15.39     	62.7    	15.65
04:05.1     	15.52     	65.8    	15.65
04:06.0     	15.70     	64.8    	15.66
04:07.0     	15.88     	65.1    	15.67
04:07.2     	15.88     	65.4    	15.67
04:07.9     	16.00     	68.8    	15.71
04:08.7     	16.43     	67.0    	15.76
04:09.6     	16.30     	64.6    	15.80
04:10.6     	16.29     	66.3    	15.85
04:11.4     	16.45     	66.4    	15.90
04:12.3     	16.48     	66.6    	15.95
04:13.2     	16.66     	68.0    	16.02
04:14.1     	16.89     	69.6    	16.09
04:15.0     	17.07     	68.0    	16.17
04:15.9     	17.01     	63.6    	16.22
04:16.7     	16.55     	61.2    	16.25
04:17.7     	16.11     	61.2    	16.24
04:18.6     	15.81     	63.4    	16.23
04:19.5     	15.73     	64.6    	16.22
04:20.4     	15.79     	66.5    	16.21
04:21.3     	15.93     	64.5    	16.20
04:22.2     	15.89     	65.5    	16.19
04:23.1     	15.91     	65.3    	16.18
04:24.0     	15.85     	62.5    	16.16
04:24.8     	15.81     	63.0    	16.14
04:25.7     	15.68     	63.5    	16.12
04:26.6     	15.51     	62.4    	16.12
04:27.5     	15.68     	62.1    	--
04:28.7     	15.86     	62.4    	16.00
04:29.8     	15.86     	62.8    	15.96
04:30.7     	--        	62.8    	15.93
04:31.2     	15.63     	66.6    	15.92
04:32.1     	15.79     	64.8    	15.91
04:32.9     	15.76     	62.3    	15.90
04:33.8     	15.63     	61.7    	15.88
04:34.7     	15.52     	61.8    	15.86
04:35.6     	15.42     	62.4    	15.84
04:36.5     	15.40     	62.6    	15.82
04:37.4     	15.42     	62.7    	15.80
04:38.2     	15.47     	62.8    	15.78
04:39.1     	15.50     	62.9    	15.77
04:39.9     	15.53     	62.6    	15.76
04:40.1     	15.52     	63.0    	15.77
04:41.0     	15.57     	64.0    	15.76
04:41.9     	15.66     	65.1    	15.76
04:42.8     	15.89     	66.9    	15.79
04:43.7     	16.09     	66.4    	15.81
04:44.6     	16.23     	66.8    	15.85
04:45.5     	16.23     	63.3    	15.88
04:46.4     	16.12     	64.0    	15.91
04:47.2     	16.01     	63.2    	15.92
04:48.1     	15.86     	62.5    	15.93
04:49.0     	15.65     	64.2    	15.93
04:49.9     	15.75     	65.1    	15.93
04:50.9     	15.85     	64.8    	15.94
04:51.8     	15.92     	64.3    	15.94
04:52.6     	15.87     	62.2    	15.94
04:53.5     	15.57     	61.9    	15.92
04:54.5     	15.51     	65.3    	15.91
