Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
02:15.7     	13.19 	74.2    	15.21
02:16.6     	13.17 	74.3    	15.19
02:17.4     	13.16 	74.5    	15.18
02:18.4     	13.16 	74.6    	15.16
02:19.3     	13.15 	74.7    	15.15
02:20.1     	13.16 	74.6    	15.14
02:21.1     	13.18 	74.9    	15.12
02:22.5     	13.20 	75.2    	15.12
02:22.9     	13.21 	74.9    	15.11
02:23.8     	13.23 	74.9    	15.10
02:24.7     	13.27 	74.9    	15.09
02:25.6     	13.26 	74.9    	15.08
02:26.5     	13.32 	75.7    	15.07
02:27.4     	13.34 	75.3    	15.07
02:28.2     	13.36 	75.4    	15.06
02:29.1     	13.48 	76.0    	15.05
02:30.0     	13.46 	75.4    	15.05
02:30.9     	13.41 	74.7    	15.04
02:31.8     	13.38 	75.5    	15.03
02:32.8     	13.49 	76.0    	15.03
02:33.7     	13.42 	76.5    	15.03
02:34.1     	13.35 	76.5    	15.03
02:34.6     	13.37 	74.5    	15.03
02:35.5     	13.34 	74.5    	15.02
02:36.3     	13.32 	74.5    	15.02
02:37.2     	13.37 	75.7    	15.02
02:38.1     	13.39 	75.4    	15.02
02:39.0     	13.38 	75.9    	15.01
02:39.9     	13.36 	75.0    	15.01
02:40.8     	13.32 	74.7    	15.00
02:41.7     	13.29 	74.5    	15.00
02:42.6     	13.27 	74.5    	14.99
02:43.5     	13.29 	74.8    	14.99
02:44.4     	13.34 	76.4    	14.99
02:45.2     	13.36 	75.7    	14.99
02:46.2     	13.36 	75.0    	14.99
02:47.1     	13.33 	74.9    	14.99
02:48.0     	13.33 	74.9    	14.99
02:48.9     	13.30 	74.8    	14.99
02:49.8     	13.28 	74.5    	14.99
02:50.7     	13.27 	74.4    	14.99
02:51.6     	13.26 	74.5    	15.00
02:52.5     	13.28 	74.5    	15.00
02:53.3     	13.27 	74.4    	15.00
02:54.2     	13.26 	74.4    	15.00
02:55.1     	13.26 	74.4    	15.01
02:56.0     	13.27 	74.4    	15.01
02:56.9     	13.29 	74.6    	15.02
02:57.8     	13.30 	74.6    	15.02
02:58.7     	13.35 	74.5    	15.03
02:59.7     	13.40 	74.7    	15.04
03:00.6     	13.45 	74.7    	15.05
03:01.4     	13.47 	74.6    	15.06
03:02.3     	13.60 	76.1    	15.07
03:03.3     	13.75 	77.1    	15.08
03:04.1     	13.88 	76.9    	15.09
03:05.0     	13.91 	75.4    	15.11
03:05.9     	13.88 	74.8    	15.12
03:06.8     	13.83 	74.1    	15.13
03:07.7     	13.75 	73.7    	15.14
03:08.6     	13.70 	74.0    	15.15
03:09.4     	13.67 	74.4    	15.16
03:10.3     	13.63 	74.2    	15.16
03:11.3     	13.63 	74.9    	15.17
03:12.1     	13.68 	75.0    	15.18
03:13.1     	13.72 	75.0    	15.19
03:14.0     	13.73 	75.0    	15.20
03:14.9     	13.66 	74.9    	15.21
03:15.8     	13.63 	74.9    	15.21
03:16.7     	13.65 	74.9    	15.22
03:17.5     	13.73 	74.6    	15.22
03:18.5     	13.73 	74.5    	15.23
03:19.4     	13.71 	74.3    	15.23
03:20.2     	13.68 	74.2    	15.24
03:21.1     	13.66 	74.2    	15.24
03:22.0     	13.65 	74.2    	15.25
03:22.9     	13.64 	74.2    	15.25
03:23.8     	13.63 	74.2    	15.26
03:24.7     	13.64 	74.2    	15.26
03:25.5     	13.69 	74.2    	15.27
03:26.6     	13.79 	73.9    	15.27
03:27.4     	13.83 	73.7    	15.28
03:28.3     	13.89 	73.8    	15.29
03:29.2     	13.94 	73.9    	15.30
03:30.1     	13.96 	73.9    	15.31
03:31.0     	13.97 	73.3    	15.32
03:31.9     	13.96 	73.3    	15.34
03:32.8     	13.97 	73.7    	15.35
03:33.6     	14.08 	73.7    	15.36
03:34.6     	14.13 	73.6    	15.38
03:35.5     	14.18 	73.2    	15.39
03:36.3     	14.28 	72.7    	15.41
03:37.2     	14.36 	72.3    	15.42
03:38.1     	14.32 	72.4    	15.44
03:39.0     	14.23 	72.6    	15.46
03:40.0     	14.13 	73.4    	15.47
03:40.9     	14.04 	73.7    	15.49
03:41.8     	13.96 	73.8    	15.50
03:42.7     	13.92 	74.0    	15.51
03:43.6     	13.88 	74.4    	15.52
03:44.4     	13.96 	74.5    	15.52
03:45.3     	14.03 	74.6    	15.53
03:46.2     	14.13 	74.4    	15.54
03:47.1     	14.27 	75.1    	15.54
03:48.0     	14.39 	75.8    	15.55
03:48.9     	14.55 	76.3    	15.56
03:49.8     	14.55 	74.5    	15.57
03:50.7     	14.45 	74.3    	15.58
03:51.6     	14.32 	73.9    	15.59
03:52.4     	14.19 	73.5    	15.59
03:53.4     	14.06 	73.6    	15.59
03:54.3     	14.00 	74.4    	15.59
03:55.2     	13.92 	74.2    	15.59
03:56.1     	13.84 	74.1    	15.58
03:57.0     	13.80 	75.4    	15.58
03:57.9     	13.79 	74.7    	15.57
03:58.8     	13.77 	74.9    	15.57
03:59.7     	13.77 	75.5    	15.56
04:00.5     	13.86 	77.0    	15.56
04:01.4     	13.83 	76.1    	15.55
04:02.3     	13.90 	76.6    	15.55
04:03.9     	13.97 	77.1    	15.54
04:04.1     	13.84 	75.5    	15.53
04:05.0     	13.79 	74.5    	15.52
04:05.9     	13.72 	74.1    	15.51
04:06.9     	13.68 	74.9    	15.50
04:07.8     	13.67 	74.3    	15.49
04:08.6     	13.62 	74.0    	15.48
04:09.5     	13.58 	74.2    	15.47
04:10.4     	13.55 	74.3    	15.46
04:11.3     	13.51 	74.4    	15.46
04:12.2     	13.47 	74.4    	15.45
04:13.1     	13.44 	74.5    	15.45
04:14.0     	13.41 	74.5    	15.44
04:14.9     	13.40 	74.5    	15.43
04:15.8     	13.39 	74.6    	15.42
04:16.6     	13.39 	74.6    	15.42
04:17.5     	13.39 	74.5    	15.41
04:18.4     	13.39 	74.5    	15.40
04:19.3     	13.40 	74.5    	15.39
04:20.3     	13.42 	74.5    	15.38
04:21.2     	13.45 	74.5    	15.37
04:22.1     	13.49 	74.3    	15.36
04:23.0     	13.52 	74.1    	15.35
04:23.9     	13.55 	74.1    	15.34
04:24.7     	13.58 	74.0    	15.33
04:25.6     	13.61 	73.9    	15.32
04:26.5     	13.61 	73.8    	15.32
04:27.4     	13.62 	73.9    	15.31
04:28.3     	13.61 	74.1    	15.30
04:29.2     	13.66 	73.9    	15.29
04:30.1     	13.78 	73.9    	15.29
04:31.0     	13.89 	73.7    	15.28
04:31.9     	13.98 	73.3    	15.27
04:32.8     	14.08 	72.8    	15.27
04:33.7     	14.18 	72.5    	15.27
04:34.6     	14.24 	72.4    	15.27
04:35.5     	14.18 	72.5    	15.28
04:36.4     	14.08 	72.7    	15.28
04:37.3     	14.04 	73.0    	15.29
04:38.2     	14.14 	72.8    	15.29
04:39.1     	14.12 	73.1    	15.30
04:40.0     	14.04 	73.2    	15.31
04:40.8     	13.97 	73.3    	15.31
04:41.7     	14.01 	73.7    	15.32
04:42.6     	14.19 	72.7    	15.33
04:43.5     	14.13 	72.9    	15.33
04:44.4     	14.06 	73.1    	15.34
04:45.4     	14.05 	73.2    	15.34
04:46.3     	14.18 	72.4    	15.35
04:47.2     	14.14 	72.5    	15.36
04:48.1     	14.15 	72.5    	15.36
04:48.9     	14.67 	70.3    	15.37
04:49.8     	15.48 	66.9    	15.37
04:50.8     	16.07 	64.4    	15.38
04:51.6     	16.50 	62.8    	15.39
04:52.5     	16.91 	61.5    	15.39
04:53.4     	16.74 	62.2    	15.40
04:54.3     	17.13 	60.6    	15.41
04:55.2     	16.66 	62.5    	15.41
04:56.1     	17.13 	60.8    	15.42
04:56.9     	15.88 	66.4    	15.43
04:57.9     	15.63 	67.5    	15.43
04:58.8     	15.61 	67.5    	15.44
04:59.7     	16.02 	65.8    	15.45
05:00.6     	15.77 	67.0    	15.45
05:01.5     	15.63 	67.3    	15.46
05:02.4     	15.91 	65.8    	15.47
05:03.3     	16.57 	62.9    	15.47
05:04.2     	17.12 	60.6    	15.47
05:05.0     	17.55 	58.8    	15.48
05:05.9     	17.91 	57.8    	15.48
05:06.8     	17.93 	58.5    	15.49
05:07.7     	18.14 	58.7    	15.50
05:08.6     	18.24 	59.1    	15.50
05:09.5     	18.13 	60.1    	15.52
