alt,u,v,temp,bv2
25548,-3.05808133610294,-1.58949092054645,-0.646315789473576,0.00120107986299729
25553,-3.07272054397447,-1.58330520478032,-0.653684210526215,0.00119960963139349
25558,-2.94922219753654,-1.79731224575842,-0.661052631578841,-0
25563,-2.92850415275257,-2.02916256122223,-0.66842105263148,-0
25569,-2.94348168602555,-2.02281439264223,-0.675789473684105,-0
25574,-2.92711700491815,-2.25526641858256,-0.68306220095684,0.00120624899178203
25579,-2.94228519746349,-2.24893493052748,-0.690334928229568,0.00120476608578579
25584,-2.83088670698674,-2.47127821311643,-0.697607655502296,-0
25589,-2.84630099911493,-2.46477853639719,-0.704880382775023,0.00183864915572244
25594,-2.83855866302303,-2.69976801516835,-0.812057416267855,0.00183520599250948
25600,-2.75460264281646,-2.68438723369478,-0.819234449760678,-0
25605,-2.7510240477286,-2.92124776090846,-0.826411483253509,0.00121146280606026
25610,-2.76671171263002,-2.91452686233515,-0.833588516746332,0.0012099670610694
25615,-2.66777760833907,-3.14628722219537,-0.84066985645925,-0
25620,-2.58376028697462,-3.13416033703906,-0.847751196172162,-0
25625,-2.59967590508577,-3.127332310508,-0.854832535885087,0.00183520599250919
25631,-2.50485169543999,-3.36485559127513,-0.961913875598,0.00304849758872008
25636,-2.52077691865232,-3.35827109623823,-0.968899521531014,0.00121521313633537
25641,-2.43683417350011,-3.34826068316804,-0.975885167464028,-0
25646,-2.44632272421012,-3.59304235122421,-0.982870813397042,-0
25651,-2.36250073621773,-3.58484901907999,-0.989760765550152,0.00183177570093473
25656,-2.2787498625627,-3.57671971857274,-1.09665071770326,0.00305038503801786
25662,-2.29268292758123,-3.82537244072931,-1.10354066985637,0.00122050490076276
25667,-2.20891186432891,-3.81928280966988,-1.11043062200948,-0
25672,-2.22523613071277,-3.8132015188729,-1.11732057416259,0.00182835820895529
25677,-2.1438867297945,-4.06547862411605,-1.2241148325358,0.00182495344506524
25682,-2.06037066868764,-4.06126813549945,-1.230909090909,-0
25688,-2.07683937709642,-4.05531240623913,-1.23770334928221,0.00122737823236594
25693,-2.00020288083386,-4.31304449162771,-1.24449760765541,0.00305079639890252
25698,-2.01677143771584,-4.30738649317034,-1.35119617224871,0.00182156133828978
25704,-1.93347421758425,-4.30527995515928,-1.35789473684201,-0
25709,-1.86168895270513,-4.56774638140584,-1.36459330143531,-0
25715,-1.87834443379551,-4.56175018374347,-1.37129186602861,0.00305662945558673
25720,-1.79507641147097,-4.56121147234251,-1.47799043062192,0.00304712544193297
25725,-1.81157588194722,-4.55543249005661,-1.48459330143532,-0
25731,-1.72821239894802,-4.55488710339501,-1.49110047846881,-0
25736,-1.74461640874961,-4.54910144584847,-1.49760765550231,-0
25741,-1.7609460505166,-4.54325556625494,-1.5041148325358,0.00305870196590077
25747,-1.67741273880814,-4.5426432822857,-1.61062200956929,0.00304918507978045
25752,-1.69364691990048,-4.53679072743152,-1.61712918660279,-0
25758,-1.60994377948276,-4.53611154615465,-1.62363636363628,-0
25763,-1.6261035925405,-4.53019876925348,-1.63004784688987,-0
25768,-1.54230499144812,-4.52951291271596,-1.63645933014346,0.00181481481481488
25774,-1.55829497579661,-4.52353323850715,-1.74287081339705,0.00305517765837566
25779,-1.47442200666963,-4.52278715992265,-1.74928229665063,0.00124214099921445
25784,-1.49031653034345,-4.5168008104532,-1.75569377990423,-0
25790,-1.40627373250723,-4.51598783456105,-1.76210526315782,-0
25795,-1.42209388814646,-4.50994126304461,-1.7684210526315,0.00181146025878014
25801,-1.33798275105907,-4.50867818053724,-1.87473684210519,0.00305737897248274
25806,-1.35366019941255,-4.50212128035859,-1.88105263157887,0.00124767041593869
25811,-1.26947469429057,-4.50079797580424,-1.88727272727266,-0
25817,-1.28507777460946,-4.49418085357859,-1.89349282296644,-0
25822,-1.30068085492835,-4.48756373135295,-1.89971291866023,0.00180811808118071
25827,-1.31628393524724,-4.48094660912731,-2.0058373205741,0.00180478821362789
25833,-1.23185413142118,-4.47949785225349,-2.01196172248798,0.00125485402118487
25838,-1.24721291303599,-4.47275527770839,-2.01808612440185,0.00125324928149055
25844,-1.26249732661621,-4.4659524811163,-2.02421052631573,-0
25849,-1.26537443747658,-4.17661881792205,-2.03033492822962,-0
25854,-1.28043574695303,-4.16963535518899,-2.03645933014349,0.00180478821362797
25860,-1.29542268839489,-4.16259167040893,-2.14258373205737,0.00306196804719272
25865,-1.2105449075756,-4.15879729118428,-2.14861244019135,0.00125887826217111
25870,-1.22553290376987,-4.15145145151333,-2.15454545454541,-0
25875,-1.24037428858747,-4.14398259029029,-2.16047846889948,0.00180147058823534
25881,-1.25514236771674,-4.1364522182912,-2.26641148325354,0.00179816513761472
25886,-1.26983714115767,-4.12886033551606,-2.27234449760761,0.00126619188643494
