alt,u,v,temp,bv2
12664,-9.91860802259194,-1.13993478700202,-1.17360482654618,0.000304983722144426
12668,-9.92601759839824,-1.12865666553757,-1.17560240963873,0.00198246562510499
12673,-9.86269421164737,-1.04670178511676,-1.27759398496259,0.00197932817884805
12677,-9.87031936686846,-1.0346665825835,-1.27957957957975,0.0018276254181653
12681,-9.59044570798147,-1.3152051197115,-1.38155922038997,0.00182495850916215
12686,-9.52594809838959,-1.23373232497081,-1.3833832335331,0.000459135092076667
12690,-9.53336223752981,-1.22176126251576,-1.38520179372213,0.00197893155068776
12694,-9.54075424491139,-1.20982593457551,-1.48701492537329,0.00182327519270065
12698,-9.47619023945023,-1.12846034433731,-1.48882265275723,0.000460140118203805
12703,-9.4835382795748,-1.11659600707714,-1.49062500000014,0.00197758553263621
12707,-9.49096397360032,-1.10390790289265,-1.59227340267474,0.00182160207665593
12711,-9.49836763292547,-1.09125744886896,-1.59391691394674,0.00182224534309711
12716,-9.43381537544839,-1.00917864062609,-1.69555555555571,0.00197351110465664
12720,-9.15524440811296,-1.29791123334863,-1.69718934911258,0.000461583453910919
12724,-9.16258254861536,-1.28537272975625,-1.69881831610059,0.00182058346288987
12728,-9.09662189351249,-1.20463072241663,-1.80029498525089,0.00181794744306389
12733,-9.10400009551167,-1.19131554015881,-1.80176730486025,0.000462672039074215
12737,-9.11135659691673,-1.17803952020176,-1.80323529411781,0.00197310718780503
12741,-9.11869149332501,-1.16480249002431,-1.90469897210001,0.00181630334685023
12745,-9.05286950961122,-1.08340444211093,-1.90615835777142,0.0018169488878337
12749,-9.06016148057927,-1.07024487796926,-2.00746705710118,0.00196908743303705
12753,-9.06729091276872,-1.05708595304364,-2.00877192982473,0.000464131327583041
12758,-8.71709807395266,-1.28587847658826,-2.0100729927009,0.00181531599849667
12762,-8.72439363125389,-1.27199324000912,-2.11137026239085,0.00181270284086032
12766,-8.73166794966923,-1.2581484262439,-2.11251819505112,0.00031004429425978
12770,-8.66460663926237,-1.17743079839443,-2.11366279069784,0.00196903314540056
12774,-8.67183875720254,-1.16366630249352,-2.21480406386083,0.00196596404442275
12778,-8.67904991248203,-1.14994170368217,-2.21594202898567,0.00181173546199234
12782,-8.61178529450003,-1.06930875770536,-2.31693198263402,0.0018091374341853
12786,-8.61881478373467,-1.05562852521225,-2.31791907514467,0.000311076628513794
12790,-8.6260150623244,-1.04119188308591,-2.31890331890347,0.0019659880602926
12795,-8.558880108284,-0.959883784479665,-2.41988472622494,0.00196293398007285
12799,-8.56603897627765,-0.945530171079003,-2.42086330935266,0.000311768679064995
12803,-8.49886279026381,-0.864304743057971,-2.42183908045991,0.000311942173096103
12807,-8.50598060388083,-0.850033444158871,-2.42266857962711,0.00196500160770512
12811,-8.51307802261642,-0.835803037233692,-2.52349570200587,0.00196195434106028
12815,-8.44570125659547,-0.754668104305551,-2.52432045779699,0.000312638084457946
12819,-8.45279399702467,-0.739698186822356,-2.525142857143,0.00180695349650139
12823,-8.45986650138987,-0.724770979517427,-2.62596291012854,0.00180437771203218
12827,-8.39260437362225,-0.642973239232752,-2.62678062678077,0.000469911972511132
12832,-8.39963666480413,-0.628130905756503,-2.62759601706985,0.00196196684923122
12836,-8.33233449533832,-0.546417677364474,-2.72826704545469,0.00180281121626549
12840,-8.05252099764813,-0.855834614634944,-2.72893617021291,0.000313863430069684
12844,-8.05949360908808,-0.841118241049809,-2.72960339943357,0.000314039263977971
12848,-7.9909755380038,-0.760837595042528,-2.73026874115997,0.00196133254224313
12852,-7.92243782599596,-0.680598403111823,-2.83093220338999,0.00195830648364779
12856,-7.8540395667214,-0.599618928029873,-2.83159379407633,0.000314744574165277
12860,-7.86109234237407,-0.584288661684109,-2.83225352112692,0.000314921397014326
12864,-7.79279238386808,-0.503422452259592,-2.83291139240523,0.00180243924741418
12868,-7.72447228210503,-0.422599108864635,-2.93356741573049,0.00195769435741198
12873,-7.65613212183914,-0.341818451137271,-2.93422159887814,0.000473274755518194
12877,-7.58777198734985,-0.26108029972595,-2.93487394957999,0.00180089632019753
12881,-7.59486292046735,-0.245990379181549,-3.03552447552463,0.00179834970351149
12885,-7.52646308848684,-0.165336706354143,-3.0361731843577,0.000316164741890325
12889,-7.45804353230537,-0.0847250077803707,-3.03682008368217,0.000316343164486682
12893,-7.38960433433603,-0.00415510808034725,-3.03746518105866,0.00195803653038594
12897,-7.39661653455574,0.0107672642510828,-3.13810848400574,0.00195503105780278
12901,-7.32828186579539,0.0920287086911458,-3.13875000000018,0.000317058873227763
12905,-6.9653575553492,-0.171834260423623,-3.13938973647729,0.000317238306715588
12909,-6.89598610227242,-0.0920106497038162,-3.1400277008312,0.000317417943411937
12913,-6.82659464092113,-0.0122300399515147,-3.14066390041512,0.00195741302214757
12917,-6.83378769851444,0.00322898604544264,-3.24129834254161,0.00195441380464618
12922,-6.76435646887836,0.0829241274220962,-3.24193103448294,0.000318138529208751
12926,-6.69504112677113,0.162552880949459,-3.24269972451808,0.000318319187147422
12930,-6.62570573211314,0.24213940616167,-3.24346629986263,0.00179687004767289
12934,-6.55648564332875,0.321660024304855,-3.34423076923095,0.00179434485071065
12938,-6.48724529568148,0.401138826653316,-3.34499314128963,0.000478468681998098
12942,-6.41798477242689,0.480575985052798,-3.34575342465772,0.000478663159170214
12946,-6.05020803369588,0.197679734200744,-3.34651162790716,0.00179555167846165
12950,-5.97993160787425,0.275663704644245,-3.44726775956303,0.00179303356630261
12954,-5.90976923994436,0.353582915632849,-3.44802182810386,0.000319771870722569
12958,-5.83958629373596,0.431461289640843,-3.44877384196203,0.000480107876100686
12962,-5.7695168406914,0.509275367747378,-3.44952380952399,0.00195422882951656
12966,-5.69942661280146,0.587049005530538,-3.55027173913061,0.00179173413790652
12971,-5.55160109848561,0.727714406709921,-3.55101763907751,0.000320686550279684
12975,-5.48160301692706,0.805384127234582,-3.55176151761535,0.0017925825680914
12979,-5.10954282993941,0.503296105156377,-3.65250338295012,0.00179007867480956
12983,-5.03854966862617,0.579496858895144,-3.65324324324342,0.000482034521541202
12988,-4.9675354333209,0.655658113022017,-3.65398110661287,0.00048223190883906
12993,-4.89663293264526,0.731756624519573,-3.65471698113225,0.00195261313759864
12998,-4.82570917066496,0.807816017944539,-3.75545087483194,0.00194964698417617
13004,-4.75476423311105,0.88383645103109,-3.7561827956991,0.00048369828171702
13009,-4.68379820525431,0.959818080666491,-3.75691275167803,0.00195120454683539
13014,-4.310005613352,0.641137175948899,-3.85764075067043,0.00194916617743714
13019,-4.23793518323202,0.7156570207672,-3.85836680053566,0.000484733916583355
13025,-4.08598036488569,0.850320030086522,-3.85895721925152,0.000485373566735895
13030,-4.01386834378265,0.924763352832453,-3.85954606141541,0.00195068876315445
