Time [mm:ss]	T [°C]	U [%r H]   	Tu Cap [°C]
02:15.0     	16.50 	59.3       	18.64
02:15.8     	16.67 	61.4       	18.59
02:16.8     	16.73 	61.6       	18.54
02:17.7     	16.65 	62.0       	18.54
02:18.5     	16.78 	60.9       	18.50
02:19.4     	16.79 	61.9       	18.49
02:20.3     	16.98 	58.7       	18.47
02:21.2     	16.77 	56.5       	18.46
02:22.1     	16.81 	62.9       	18.43
02:23.0     	16.98 	61.4       	18.40
02:23.9     	16.98 	61.1       	18.39
02:24.9     	17.17 	63.3       	18.38
02:25.8     	17.15 	61.3       	18.37
02:26.6     	16.95 	58.1       	18.37
02:27.5     	16.71 	57.1       	18.35
02:28.4     	16.57 	58.1       	18.33
02:29.3     	16.43 	56.8       	18.31
02:30.2     	16.27 	58.6       	18.27
02:31.1     	16.20 	53.2       	18.19
02:32.0     	15.98 	57.9       	18.13
02:32.9     	15.93 	58.6       	18.06
02:33.8     	15.70 	54.1       	17.97
02:34.6     	15.54 	55.6       	17.91
02:35.5     	15.48 	55.7       	17.84
02:36.4     	15.49 	56.9       	17.78
02:37.3     	15.48 	56.1       	17.70
02:38.2     	15.54 	57.6       	17.68
02:39.2     	15.75 	57.4       	17.68
02:40.1     	15.79 	55.8       	17.64
02:41.0     	15.71 	52.8       	17.70
02:41.9     	15.75 	53.8       	17.82
02:42.7     	15.79 	54.5       	17.84
02:43.6     	15.91 	54.2       	17.82
02:44.5     	16.16 	52.9       	17.75
02:45.4     	15.97 	54.8       	17.70
02:46.3     	16.84 	51.6       	17.69
02:47.2     	16.65 	55.4       	17.70
02:48.1     	16.52 	55.8       	17.58
02:49.0     	16.32 	57.4       	17.46
02:49.6     	16.12 	59.0       	17.46
02:49.9     	15.99 	59.5       	17.28
02:50.7     	16.11 	60.0       	17.29
02:51.6     	16.16 	57.7       	17.28
02:52.6     	16.21 	57.1       	17.26
02:53.5     	16.20 	57.6       	17.23
02:54.4     	16.21 	61.1       	17.16
02:55.3     	16.24 	56.8       	17.14
02:56.2     	16.21 	62.1       	17.13
02:57.1     	16.47 	66.9       	17.10
02:58.0     	16.65 	64.1       	17.10
02:58.8     	16.71 	62.6       	17.10
02:59.7     	16.83 	63.3       	17.11
03:00.6     	16.71 	59.4       	17.12
03:01.5     	16.84 	62.9       	17.13
03:02.4     	16.84 	62.3       	17.12
03:03.3     	16.78 	59.6       	17.12
03:04.2     	16.83 	60.1       	17.13
03:05.1     	16.83 	59.3       	17.14
03:06.1     	16.90 	56.5       	17.17
03:06.9     	16.95 	55.2       	17.19
03:07.9     	16.86 	54.0       	17.20
03:08.8     	16.58 	51.6       	17.21
