Time [mm:ss]	T [°C]	U [%r H]     	Tu Cap [°C]
11:49.2     	25.23 	45.2         	24.18
11:50.0     	25.15 	45.5         	24.20
11:50.9     	25.19 	45.5         	24.24
11:51.9     	25.33 	45.1         	24.29
11:52.8     	25.37 	45.2         	24.32
11:53.7     	25.20 	45.7         	24.35
11:54.6     	25.22 	45.7         	24.38
11:55.5     	25.25 	45.7         	24.41
11:56.4     	25.18 	46.8         	24.42
11:57.3     	24.99 	49.0         	24.41
11:58.1     	24.87 	50.4         	24.40
11:59.0     	24.84 	51.1         	24.39
11:59.9     	24.98 	52.0         	24.40
12:00.8     	25.11 	51.3         	24.40
12:01.9     	25.25 	51.6         	24.39
12:02.6     	24.78 	49.5         	24.36
12:03.6     	24.59 	49.9         	24.32
12:04.5     	24.48 	50.3         	24.28
12:05.4     	24.49 	50.4         	24.25
12:06.2     	24.56 	50.3         	24.23
12:07.1     	24.60 	50.5         	24.20
12:08.0     	24.51 	50.7         	24.17
12:08.9     	24.63 	50.6         	24.17
12:09.8     	24.78 	50.6         	24.17
12:10.7     	24.83 	50.8         	24.17
12:11.5     	24.79 	50.5         	24.16
12:12.4     	24.65 	50.6         	24.15
12:13.3     	24.62 	51.3         	24.14
12:14.5     	24.59 	51.1         	24.14
12:15.2     	24.72 	50.3         	24.14
12:16.1     	24.69 	49.6         	24.14
12:17.0     	24.48 	49.0         	24.10
12:17.9     	24.36 	48.6         	24.07
12:18.8     	24.25 	48.2         	24.03
12:19.6     	24.16 	48.2         	24.00
12:20.5     	24.23 	47.7         	23.97
12:21.4     	24.19 	47.5         	23.93
12:22.3     	24.13 	47.5         	23.89
12:23.2     	24.19 	47.4         	23.86
12:24.1     	24.10 	47.5         	23.83
12:24.9     	24.13 	47.3         	23.81
12:25.9     	24.17 	47.1         	23.79
12:26.9     	24.18 	47.0         	23.77
12:27.7     	24.22 	46.9         	23.77
12:28.6     	24.31 	46.6         	23.77
12:29.5     	24.31 	46.9         	23.77
12:30.4     	24.30 	47.6         	23.77
12:31.3     	24.30 	48.2         	23.77
12:32.2     	24.34 	47.3         	23.77
12:33.0     	24.33 	47.2         	23.78
12:33.9     	24.37 	46.7         	23.78
12:34.8     	24.28 	46.7         	23.78
12:35.8     	24.22 	46.7         	23.77
12:36.7     	24.11 	46.9         	23.76
12:37.6     	24.07 	47.1         	23.74
12:38.5     	24.07 	47.3         	23.73
12:39.4     	24.04 	47.4         	23.71
12:40.3     	23.97 	47.5         	23.68
12:41.1     	23.88 	47.6         	23.66
12:42.0     	23.91 	47.3         	23.63
12:42.9     	23.90 	47.2         	23.61
12:43.8     	24.01 	46.8         	23.60
12:44.7     	23.98 	46.9         	23.58
12:45.6     	23.90 	47.2         	23.57
12:46.5     	23.92 	47.1         	23.56
12:47.5     	23.97 	47.2         	23.55
12:48.4     	24.01 	47.2         	23.54
12:49.2     	24.02 	47.2         	23.55
12:50.1     	24.12 	47.1         	23.56
12:51.1     	24.31 	46.5         	23.60
12:51.9     	24.46 	46.8         	23.63
12:52.8     	24.44 	46.9         	23.68
12:53.7     	24.54 	46.8         	23.73
12:54.6     	24.49 	47.2         	23.76
12:55.5     	24.48 	48.0         	23.80
12:56.4     	24.56 	48.1         	23.86
12:57.2     	24.73 	47.8         	23.91
12:58.1     	24.74 	48.0         	23.95
12:59.0     	24.68 	47.8         	23.99
12:59.9     	24.58 	47.7         	24.01
13:00.8     	24.51 	47.9         	24.02
13:01.8     	24.48 	48.4         	24.04
13:02.7     	24.66 	48.1         	24.08
13:03.6     	24.74 	48.1         	24.10
13:04.5     	24.66 	48.4         	24.12
13:05.3     	24.62 	48.4         	24.14
13:06.2     	24.80 	47.7         	24.18
13:07.1     	25.05 	47.2         	24.24
13:08.0     	25.13 	47.0         	24.29
13:08.9     	25.00 	47.4         	24.33
13:09.8     	24.90 	47.7         	24.36
13:10.7     	24.94 	47.7         	24.40
13:11.6     	25.05 	47.6         	24.45
13:12.5     	25.04 	47.7         	24.48
13:13.4     	25.01 	47.9         	24.51
13:14.3     	24.98 	47.9         	24.53
13:15.2     	25.03 	47.7         	24.56
13:16.1     	25.11 	47.6         	24.60
13:17.0     	25.08 	48.1         	24.62
13:17.9     	24.99 	48.7         	24.64
